Time,Domain,Constraint
T-24H,CAPITAL,38
T-20H,CAPITAL,42
T-16H,CAPITAL,47
T-12H,CAPITAL,51
T-8H,CAPITAL,55
T-4H,CAPITAL,58
NOW,CAPITAL,63
T-24H,TECHNOLOGY,29
T-20H,TECHNOLOGY,31
T-16H,TECHNOLOGY,34
T-12H,TECHNOLOGY,33
T-8H,TECHNOLOGY,37
T-4H,TECHNOLOGY,40
NOW,TECHNOLOGY,44
T-24H,OWNERSHIP,66
T-20H,OWNERSHIP,71
T-16H,OWNERSHIP,74
T-12H,OWNERSHIP,79
T-8H,OWNERSHIP,83
T-4H,OWNERSHIP,88
NOW,OWNERSHIP,94
T-24H,LABOR,72
T-20H,LABOR,75
T-16H,LABOR,73
T-12H,LABOR,78
T-8H,LABOR,81
T-4H,LABOR,85
NOW,LABOR,89
T-24H,MEDIA,41
T-20H,MEDIA,44
T-16H,MEDIA,48
T-12H,MEDIA,46
T-8H,MEDIA,43
T-4H,MEDIA,45
NOW,MEDIA,49
T-24H,KNOWLEDGE,34
T-20H,KNOWLEDGE,37
T-16H,KNOWLEDGE,41
T-12H,KNOWLEDGE,44
T-8H,KNOWLEDGE,48
T-4H,KNOWLEDGE,52
NOW,KNOWLEDGE,57
